datetime,season_week,team1,team2,result,pg_score1,pg_score2,elo_prob1,carm-elo_prob1,raptor_prob1,result_v01_prob1,result_v02_prob1
2019-10-29 21:00:00,2,DEN,DAL,0,106.0,109.0,0.7928830437747677,0.8020863681900408,0.7245015789367342,0.62767285,0.60190135
2019-10-29 22:30:00,2,LAL,MEM,1,120.0,91.0,0.7048846425550213,0.715951380679674,0.8242458637508385,0.70333433,0.7628709
2019-10-30 19:00:00,2,CLE,CHI,1,117.0,111.0,0.6491473143587739,0.625996184491247,0.4994214127217388,0.6716589,0.67507404
2019-10-30 19:00:00,2,ORL,NYK,1,95.0,83.0,0.8649430342677408,0.9037707935863672,0.8773294396320102,0.65891266,0.68485856
2019-10-30 19:00:00,2,PHI,MIN,1,117.0,95.0,0.7574955411020428,0.7913041261467041,0.7311901048715213,0.54378456,0.49149162
2019-10-30 19:30:00,2,BOS,MIL,1,116.0,105.0,0.5633133711379785,0.5270199709321641,0.4730215167592349,0.5934474,0.57221687
2019-10-30 19:30:00,2,BRK,IND,0,108.0,118.0,0.6518427309813374,0.6399194381970266,0.6316986193912091,0.69498044,0.5921656
2019-10-30 19:30:00,2,TOR,DET,1,125.0,113.0,0.859800210261495,0.8936600988095369,0.8350512076493526,0.7093891,0.7186496
2019-10-30 20:00:00,2,OKC,POR,0,99.0,102.0,0.5637758848545721,0.5431075224766521,0.6307296553846172,0.53729254,0.5891423
2019-10-30 20:00:00,2,WAS,HOU,0,158.0,159.0,0.36528619697007597,0.2703231143944948,0.2453490145895884,0.5211868,0.57259977
2019-10-30 22:00:00,2,SAC,CHO,0,111.0,118.0,0.5943402511746667,0.5733887650823483,0.7836655130891484,0.57728183,0.48040196
2019-10-30 22:00:00,2,UTA,LAC,1,110.0,96.0,0.7064359982937245,0.7560431892737076,0.7226181683447274,0.59863937,0.5591821
2019-10-30 22:30:00,2,GSW,PHO,0,110.0,121.0,0.8651213281703906,0.9084113813362572,0.6511204196806166,0.5283871,0.33553863
2019-10-31 19:00:00,2,ATL,MIA,0,97.0,106.0,0.5305008852393066,0.4904455351715586,0.4629039966229102,0.45252767,0.4622388
2019-10-31 21:30:00,2,NOP,DEN,1,122.0,107.0,0.35936406523911496,0.3157228328939236,0.4569072506847063,0.4611058,0.39897177
2019-10-31 22:30:00,2,LAC,SAS,1,103.0,97.0,0.6083647190290009,0.5331831059924311,0.6872658985521907,0.49204803,0.5918719
2019-11-01 19:00:00,2,BRK,HOU,1,123.0,116.0,0.39240393761321546,0.3115223128771887,0.3346303190459459,0.5023859,0.5269588
2019-11-01 19:00:00,2,IND,CLE,1,102.0,95.0,0.7899231953911529,0.8353075551865893,0.7408759804234709,0.485303,0.5975848
2019-11-01 19:00:00,2,ORL,MIL,0,91.0,123.0,0.5082108241870658,0.45831433862154497,0.4897083472246018,0.62803245,0.6282825
2019-11-01 19:30:00,2,BOS,NYK,1,104.0,102.0,0.9015387978006985,0.9377223486003337,0.8958878541962985,0.7864668,0.7955922
2019-11-01 20:00:00,2,CHI,DET,1,112.0,106.0,0.479671508333605,0.42191347193046896,0.7273269285742654,0.45951098,0.5472227
2019-11-01 21:30:00,2,DAL,LAL,0,110.0,119.0,0.6188626870936532,0.6102751103880483,0.5943541731822484,0.559417,0.47155973
2019-11-01 22:00:00,2,SAC,UTA,1,102.0,101.0,0.3687333140454612,0.3293161900454184,0.4360292668168432,0.4448256,0.35526055
2019-11-01 22:30:00,2,GSW,SAS,0,110.0,127.0,0.6550359894797944,0.7375231565005326,0.5855684885668851,0.5850476,0.48810968
2019-11-02 17:00:00,2,OKC,NOP,1,115.0,104.0,0.7823168390685575,0.8233855018999864,0.6528657153256724,0.60613126,0.6804658
2019-11-02 19:00:00,2,DET,BRK,1,113.0,109.0,0.5977881803720029,0.5917954893829364,0.5183594915449887,0.5951712,0.52297896
2019-11-02 19:00:00,2,ORL,DEN,0,87.0,91.0,0.5553048099218362,0.4968210491220019,0.3948252634142192,0.47903752,0.44941622
2019-11-02 20:00:00,2,MEM,PHO,0,105.0,114.0,0.6779764666679887,0.7215255287356683,0.5586827496846372,0.497607,0.35261104
2019-11-02 20:00:00,2,MIL,TOR,1,115.0,105.0,0.6074496708524546,0.5254086966431115,0.6609468378762446,0.48539802,0.47400066
2019-11-02 20:00:00,2,WAS,MIN,0,109.0,131.0,0.5714269800662429,0.5596474975517882,0.42182358299671496,0.5015485,0.548803
2019-11-02 20:30:00,2,GSW,CHO,0,87.0,93.0,0.7389199768766096,0.7170621180606832,0.671852013906153,0.49947175,0.57115656
2019-11-02 22:00:00,2,POR,PHI,0,128.0,129.0,0.6335026392144937,0.6440100991592059,0.4593576562800065,0.46543688,0.46093807
2019-11-03 17:00:00,3,IND,CHI,1,108.0,95.0,0.8009097634351632,0.8336339044618454,0.5905955359019636,0.63266474,0.60873
2019-11-03 18:00:00,3,MIA,HOU,1,129.0,100.0,0.4931973427198396,0.4143073495469807,0.24815023303275974,0.7190899,0.689806
2019-11-03 18:00:00,3,NYK,SAC,0,92.0,113.0,0.4901351368602572,0.43093948306969787,0.3485502115063346,0.59941083,0.66085815
2019-11-03 19:00:00,3,SAS,LAL,0,96.0,103.0,0.7212932846702703,0.7286782325633894,0.4412740238336347,0.6056161,0.529057
2019-11-03 19:30:00,3,CLE,DAL,0,111.0,131.0,0.4840233930655179,0.4149851209776882,0.3486980149577221,0.47881988,0.5383682
2019-11-03 21:00:00,3,LAC,UTA,1,105.0,94.0,0.564703821494298,0.5479291208023189,0.5686456899365254,0.6251098,0.53957283
2019-11-04 19:00:00,3,WAS,DET,1,115.0,99.0,0.5981544947867073,0.5835967305725382,0.6253980210072825,0.42272896,0.557439
2019-11-04 19:30:00,3,BRK,NOP,1,135.0,125.0,0.7254058209849846,0.7448907145833513,0.606824748853667,0.6989971,0.6100924
2019-11-04 20:00:00,3,MEM,HOU,0,100.0,107.0,0.3541804301399707,0.3429014207917302,0.36383856351993504,0.48648033,0.49888444
2019-11-04 20:00:00,3,MIN,MIL,0,106.0,134.0,0.43376162965259296,0.3460695305654577,0.42616422658189795,0.6593951,0.48074025
2019-11-04 21:00:00,3,PHO,PHI,1,114.0,109.0,0.35535151741561666,0.2683894269127381,0.5662400618536472,0.5507312,0.57600427
2019-11-04 22:30:00,3,GSW,POR,1,127.0,118.0,0.5500292761977542,0.5418499780826183,0.20358041262439186,0.49171817,0.4183377
2019-11-05 19:00:00,3,CHO,IND,1,122.0,120.0,0.6126917356408347,0.6000789897454923,0.4786959623129424,0.53715616,0.57560575
2019-11-05 19:00:00,3,CLE,BOS,0,113.0,119.0,0.2939754853844994,0.20453675004570834,0.367501791674254,0.42635107,0.39711258
2019-11-05 19:30:00,3,ATL,SAS,1,108.0,100.0,0.4554836974889111,0.4086857735588253,0.4450389526808949,0.4694601,0.45302874
2019-11-05 20:00:00,3,CHI,LAL,0,112.0,118.0,0.3915585039386781,0.3413965794813231,0.4447307801357349,0.41096172,0.28884226
2019-11-05 20:00:00,3,OKC,ORL,1,102.0,94.0,0.6813689434018251,0.6917519372332465,0.6557692563160343,0.6516431,0.7200707
2019-11-05 21:00:00,3,DEN,MIA,1,109.0,89.0,0.6781814818784841,0.7285432102397013,0.8476752213701989,0.5010885,0.5013452
2019-11-06 19:00:00,3,DET,NYK,1,122.0,102.0,0.8104395055243353,0.8503350422668087,0.7816065499708741,0.7078996,0.68257767
2019-11-06 19:00:00,3,IND,WAS,1,121.0,106.0,0.7151321999727547,0.6647301133502352,0.5969937342082242,0.65916985,0.5544661
2019-11-06 19:30:00,3,ATL,CHI,0,93.0,113.0,0.7582902551051109,0.7801620895532774,0.4691175843532298,0.7395531,0.73182356
2019-11-06 19:30:00,3,HOU,GSW,1,129.0,112.0,0.7368694220865915,0.7509288190382167,0.9693133549636466,0.7037126,0.6980175
2019-11-06 19:30:00,3,TOR,SAC,1,124.0,120.0,0.875668230468864,0.9067077978356662,0.7451617830582558,0.70613855,0.76108086
2019-11-06 20:00:00,3,MEM,MIN,1,137.0,121.0,0.5079801430003915,0.5063278467353841,0.483683023507313,0.40654713,0.41255647
2019-11-06 20:30:00,3,DAL,ORL,1,107.0,106.0,0.6186515785221108,0.6298813850384141,0.7569237935378533,0.7653285,0.820263
2019-11-06 21:00:00,3,UTA,PHI,1,106.0,104.0,0.6202795770918221,0.6485574600006418,0.6261291392596376,0.48579657,0.5657813
